match_id,phase,group,date,team1,team2,venue,city
1,Group,A,2026-06-11,Mexico,South_Africa,Estadio Azteca,Mexico City
2,Group,A,2026-06-11,South_Korea,Czech_Republic,Estadio Akron,Zapopan
3,Group,B,2026-06-12,Canada,Bosnia_Herzegovina,BMO Field,Toronto
4,Group,D,2026-06-12,United_States,Paraguay,SoFi Stadium,Inglewood
5,Group,B,2026-06-13,Qatar,Switzerland,Levi's Stadium,Santa Clara
6,Group,C,2026-06-13,Brazil,Morocco,MetLife Stadium,East Rutherford
7,Group,C,2026-06-13,Haiti,Scotland,Gillette Stadium,Foxborough
8,Group,D,2026-06-13,Australia,Turkey,BC Place,Vancouver
9,Group,E,2026-06-14,Germany,Curacao,NRG Stadium,Houston
10,Group,F,2026-06-14,Netherlands,Japan,AT&T Stadium,Arlington
11,Group,E,2026-06-14,Ivory_Coast,Ecuador,Lincoln Financial Field,Philadelphia
12,Group,F,2026-06-14,Sweden,Tunisia,Estadio BBVA,Guadalupe
13,Group,H,2026-06-15,Spain,Cape_Verde,Mercedes-Benz Stadium,Atlanta
14,Group,G,2026-06-15,Belgium,Egypt,Lumen Field,Seattle
15,Group,H,2026-06-15,Saudi_Arabia,Uruguay,Hard Rock Stadium,Miami Gardens
16,Group,G,2026-06-15,Iran,New_Zealand,SoFi Stadium,Inglewood
17,Group,I,2026-06-16,France,Senegal,MetLife Stadium,East Rutherford
18,Group,I,2026-06-16,Iraq,Norway,Gillette Stadium,Foxborough
19,Group,J,2026-06-16,Argentina,Algeria,Arrowhead Stadium,Kansas City
20,Group,J,2026-06-16,Austria,Jordan,Levi's Stadium,Santa Clara
21,Group,K,2026-06-17,Portugal,DR_Congo,NRG Stadium,Houston
22,Group,L,2026-06-17,England,Croatia,AT&T Stadium,Arlington
23,Group,L,2026-06-17,Ghana,Panama,BMO Field,Toronto
24,Group,K,2026-06-17,Uzbekistan,Colombia,Estadio Azteca,Mexico City
25,Group,A,2026-06-18,Czech_Republic,South_Africa,Mercedes-Benz Stadium,Atlanta
